y [m],Eliptyczny, Trapezowy,Jednostkowa sila nosna [N/m]
0.000000000000000000e+00,1.111302402362789765e+00,3.600000000000000000e+01,2.032463289085098722e+03
3.632499999999999618e-01,1.109912405067879471e+00,3.600000000000000000e+01,2.030308406376044104e+03
7.264999999999999236e-01,1.105731929177381945e+00,3.600000000000000000e+01,2.023827505121747208e+03
1.089749999999999996e+00,1.098729123275440811e+00,3.600000000000000000e+01,2.012971206761876374e+03
1.452999999999999847e+00,1.088849534287183118e+00,3.600000000000000000e+01,1.997655093873514261e+03
1.816249999999999698e+00,1.076013924237844810e+00,3.600000000000000000e+01,1.977756325540102807e+03
2.179499999999999993e+00,1.060114926242692990e+00,3.600000000000000000e+01,1.953108453205027672e+03
2.542749999999999844e+00,1.041012191755642968e+00,3.600000000000000000e+01,1.923493897556224056e+03
2.905999999999999694e+00,1.018525475762751320e+00,3.600000000000000000e+01,1.888633228651372519e+03
3.269249999999999545e+00,9.924247785218299756e-01,3.600000000000000000e+01,1.848169882870283345e+03
3.632499999999999396e+00,9.624161117328516868e-01,3.600000000000000000e+01,1.801648096517074691e+03
3.995749999999999691e+00,9.281204868304395728e-01,3.600000000000000000e+01,1.748480331824982841e+03
4.358999999999999986e+00,8.890419218902319010e-01,3.600000000000000000e+01,1.687897678756035020e+03
4.722249999999999837e+00,8.445167106308171245e-01,3.600000000000000000e+01,1.618871207833216204e+03
5.085499999999999687e+00,7.936286568941591790e-01,3.600000000000000000e+01,1.539980559990876827e+03
5.448749999999999538e+00,7.350574470101450819e-01,3.600000000000000000e+01,1.449178881534644006e+03
5.811999999999999389e+00,6.667814414176739257e-01,3.600000000000000000e+01,1.343332068426971318e+03
6.175249999999999240e+00,5.854148663003896358e-01,3.600000000000000000e+01,1.217191228831628905e+03
6.538499999999999091e+00,4.844054867613378779e-01,3.600000000000000000e+01,1.060598574861681755e+03
6.901749999999998941e+00,3.470040639185481002e-01,3.600000000000000000e+01,8.475881241452618724e+02
7.264999999999998792e+00,1.655969623271807678e-08,3.600000000000000000e+01,3.096352631119182774e+02
